Item Description,Department,Category,Quantity Sold,Sales Amount,Quantity Returned,Returns Amount,Costs,Discounts,Margin,Gross Profit,Net Sales,Quantity on Hand,Supplier,Supplier Code,Product UUID
LBB SP Comete,Bra,Bra,38.0,5168.0,0.0,0.0,2071.0,0.0,59.93,3097.0,5168.0,N/A,,,35a335fc-3940-40eb-9700-70ebaaf5172e
LBB CH Norah Chic,Bra,general,21.0,2562.0,0.0,0.0,716.12,0.0,72.05,1845.88,2562.0,N/A,,,ac1ebd3b-6224-48c7-acac-bf5e14b497ec
Euc Lingerie Wash Jasmine 3.3oz,Lingerie Wash,Lingerie Wash,9.0,63.0,0.0,0.0,27.0,0.0,57.14,36.0,63.0,N/A,,,9d9d41fa-ab2f-4906-8e1c-cfa0ec914c9d
Euc Lingerie Wash Unscented 3.3oz,Lingerie Wash,Lingerie Wash,8.0,56.0,0.0,0.0,24.0,0.0,57.14,32.0,56.0,N/A,,,4052c08d-f1c7-474a-8815-0366924106e0
LBB EL Matilda Plum,Bra and Panty Set,SET,8.0,613.0,0.0,0.0,241.65,0.0,60.58,371.35,613.0,N/A,,,88c543d3-784d-4c5c-9a04-2f12d7490fd3
LBB AUB Rosesse Fash,Bra and Panty Set,SET,8.0,1309.0,0.0,0.0,432.21,0.0,66.98,876.79,1309.0,N/A,,,9fc2f935-a741-4918-8307-387e940ba719
LBB CH Norah Flex,Bra,Full Coverage,7.0,854.0,0.0,0.0,256.12,0.0,70.01,597.88,854.0,N/A,,,0f80c5ab-a5d2-49bb-950d-b8203954cfd5
LBB SP Strapless,Bra,Strapless,7.0,714.0,0.0,0.0,276.5,0.0,61.27,437.5,714.0,N/A,,,9135cf0f-d8c1-4228-ba9f-ee7cad782c0a
LBB CK Victory Bra,Bra,Balcony,7.0,539.0,0.0,0.0,211.8,0.0,60.71,327.2,539.0,N/A,,,dc9c3538-5f79-4e7b-874b-58e46d1df81e
LBB AUB Crazy Love,Set,Set,7.0,1465.0,0.0,0.0,485.49,0.0,66.86,979.51,1465.0,N/A,,,64bc784d-bba5-4fb7-9a1b-57d2c061ff98
Euc Lingerie Wash Grapefruit 3.3oz,Lingerie Wash,Lingerie Wash,7.0,49.0,0.0,0.0,21.0,0.0,57.14,28.0,49.0,N/A,,,d1ac3656-04b1-4ca5-b496-15a896730f76
LBB CK Stardust,Bra and Panty Set,SET,6.0,441.0,0.0,0.0,174.0,0.0,60.54,267.0,441.0,N/A,,,64323d38-76d9-4392-a866-b6d5e8c32caa
LBB EL Smoothie Em,Bra,Full Coverage,6.0,456.0,0.0,0.0,175.5,0.0,61.51,280.5,456.0,N/A,,,53fbe0cd-b435-4172-b5b3-e09d8a8fe45b
Euc Lingerie Wash Lavender 3.3oz,Lingerie Wash,Lingerie Wash,6.0,42.0,0.0,0.0,18.0,0.0,57.14,24.0,42.0,N/A,,,5a76d71b-6695-4fe2-8744-bbfaffc0f818
LBB CH Magnifique WF,Bra,Wireless,5.0,500.0,0.0,0.0,149.75,0.0,70.05,350.25,500.0,N/A,,,2a431d57-0e55-4d1e-970c-ba5613683cb2
LBB EL Matilda ,Set,Bra and Panty,5.0,410.0,0.0,0.0,162.0,0.0,60.49,248.0,410.0,N/A,,,8560467a-e523-4d0b-b843-383c72eaab93
LBB SP Subtile ,Bra,Moulded,5.0,455.0,0.0,0.0,180.0,0.0,60.44,275.0,455.0,N/A,,,34b2aea8-f209-4e4d-9bdd-e32d6950a65a
LBB EL Smoothie,Bra,Moulded ,5.0,380.0,0.0,0.0,146.25,0.0,61.51,233.75,380.0,N/A,,,4eeb6ff7-1594-4b49-b21f-a45b333b1a8a
Euc Lingerie Wash Eucalyptus 3.3oz,Lingerie Wash,Lingerie Wash,5.0,35.0,0.0,0.0,15.0,0.0,57.14,20.0,35.0,N/A,,,edb96197-c08e-43b6-b5ff-9c417607bcb7
LBB EL Nerina ,Set,Bra and Panty,4.0,328.0,0.0,0.0,129.6,0.0,60.49,198.4,328.0,N/A,,,51d1cce1-2c20-4ba1-b889-2ddeccff0418
LBB EL Nerina Fash,Bra and Panty Set,SET,4.0,328.0,0.0,0.0,129.6,0.0,60.49,198.4,328.0,N/A,,,f6ede82d-e423-4346-9f7a-5ffaabcd4c55
LBB CH Norah,Bra,general,4.0,476.0,0.0,0.0,157.44,0.0,66.92,318.56,476.0,N/A,,,f990c395-414d-4841-b783-0ec672b23cd9
LBB AUB Sound of,Set,3 PC,4.0,789.0,0.0,0.0,261.43,0.0,66.87,527.57,789.0,N/A,,,570e8ba0-7fed-4e49-a027-18308b338729
LBB BDL Syra,Lingerie,Set,3.0,689.0,0.0,0.0,228.22,0.0,66.88,460.78,689.0,N/A,,,0a2427f0-1432-4794-b612-9338ec8ad91f
LBB AUB Sheer Emo BLK,Set,Bra and Panty,3.0,411.0,0.0,0.0,136.01,0.0,66.91,274.99,411.0,N/A,,,96e8fa26-08a9-4979-b55d-0887143d906a
LBB FR Sonic Sports Bra,Sports Bra,general,3.0,248.0,0.0,0.0,99.9,0.0,59.72,148.1,248.0,N/A,,,d0fc7fa4-eea0-4724-81e1-e8321c6dcd66
LBB EL Kintai Fash,Set,Bra and Panty,3.0,195.0,0.0,0.0,76.05,0.0,61.0,118.95,195.0,N/A,,,56c5db73-c479-4eaa-a186-4361f4147cf1
LBB SP Andora Bra,Bra,moulded,3.0,378.0,0.0,0.0,150.0,0.0,60.32,228.0,378.0,N/A,,,f491dbe3-525e-4b57-a580-a95e872779b9
LBB FE EVA,Lingerie,Set,3.0,726.0,0.0,0.0,241.0,0.0,66.8,485.0,726.0,N/A,,,13a146e7-5072-49fa-ae4d-49c121dc87a4
LBB CH Norah Violet,Bra,Bra,3.0,357.0,0.0,0.0,118.08,0.0,66.92,238.92,357.0,N/A,,,812d7905-dd82-465d-b5b0-560b9ef6e3ed
Misc Taxable,general,general,3.0,700.0,0.0,0.0,0.0,0.0,100.0,700.0,700.0,0.0,not tracked,,75CA3465-9E54-469B-9F01-E4FE38C1834D
LBB CH Comfort Chic,Bra,Balcony,3.0,345.0,0.0,0.0,120.96,0.0,64.94,224.04,345.0,N/A,,,34dc8317-53ae-4c05-96f5-f317550341f5
LBB CH Softstretch Panty,Underwear,Soft Stretch,3.0,72.0,0.0,0.0,16.0,0.0,77.78,56.0,72.0,N/A,,,f6c94ae5-7f65-4322-930f-cacb07dba388
LBB LBC Beatrice,Bra,Bra,3.0,240.0,0.0,0.0,96.0,0.0,60.0,144.0,240.0,N/A,,,7e08235b-d3c9-4185-a24b-f603ac262b3b
LBB EL Zarla Saph,Bra,set,3.0,209.0,0.0,0.0,79.65,0.0,61.89,129.35,209.0,N/A,,,3413473c-f806-476b-8afe-db83d8734f05
Bra Fitting Service,general,general,3.0,75.0,0.0,0.0,0.0,0.0,100.0,75.0,75.0,0.0,not tracked,,1985CCA8-1F41-42E9-8DB9-87966A4FDF8E
LBB CK Happy Boobs,Bra,general,2.0,152.0,0.0,0.0,42.64,0.0,71.95,109.36,152.0,N/A,,,4b6c588b-dc6c-4cc5-a19b-834d43516d79
LBB AJ Joli,Bra and Panty Set,general,2.0,208.0,0.0,0.0,52.0,0.0,75.0,156.0,208.0,N/A,,,5aa7b469-cba0-48ef-93a5-190f79ea3a38
LBB CK Flora  Bra,Bra,Balcony,2.0,170.0,0.0,0.0,59.1,0.0,65.24,110.9,170.0,N/A,,,a527d5be-78e9-4b8c-baf6-e96692714fda
LBB LCO Maison Minuit ,Body,Body,2.0,134.0,0.0,0.0,44.0,0.0,67.16,90.0,134.0,N/A,,,d1910d37-2755-429d-bf2e-55d14401caaa
LBB EL Nerina PL,general,general,2.0,164.0,0.0,0.0,64.8,0.0,60.49,99.2,164.0,N/A,,,00a466c8-90a7-46f5-99f6-1272158fefdb
LBB CK SC Suspense,Bra and Panty Set,SET,2.0,152.0,0.0,0.0,55.0,0.0,63.82,97.0,152.0,N/A,,,d3e230ca-176e-4216-a25a-f17ba06daa03
LBB EL Teagan CAFE,Bra and Panty Set,SET,2.0,178.0,0.0,0.0,70.2,0.0,60.56,107.8,178.0,N/A,,,c3b09624-38ea-420a-925d-b024c0a0e564
LBB EL Cate Allure,Bra,Underwire,2.0,156.0,0.0,0.0,61.2,0.0,60.77,94.8,156.0,N/A,,,9d4ba93a-567c-48b3-80cd-f6d029d88371
