Time,Register Name/Number,Cashier Name,Operation Type,Store Code,UPC,Line Item,Department,Category,Supplier,Supplier Code,Cost,Price,Quantity,Modifiers,Subtotal,Discounts,Net Total,Tax,Total Due,Transaction ID,Customer ID
09/28/2025 06:02 PM,Register 1,Alexandra Rouffignac,SALE,*400000027234,*0686654300729,LBB HT Eclatante - Medium Fuschia Panty,Set,Bra and Panty,Huit,,19.0,55.0,1.0,0.0,55.0,0.0,55.0,3.3,58.3,9B5D8FAE-00C4-4277-8266-A040EB92E670,76059026
09/28/2025 06:02 PM,Register 1,Alexandra Rouffignac,SALE,*400000027180,*0686654300835,LBB HT Eclatante - 32E Fuschia Bra,Set,Bra and Panty,Huit,,42.0,115.0,1.0,0.0,115.0,0.0,115.0,6.9,121.9,9B5D8FAE-00C4-4277-8266-A040EB92E670,76059026
09/28/2025 06:02 PM,Register 1,Alexandra Rouffignac,SALE,*400000007267,*3340443139487,LBB CH Mag Bralette Blk - 32F,general,general,not tracked,,37.44,100.0,1.0,0.0,100.0,0.0,100.0,6.0,106.0,9B5D8FAE-00C4-4277-8266-A040EB92E670,76059026
09/28/2025 06:02 PM,Register 1,Alexandra Rouffignac,SALE,*400000001876,*,LBB CH Norah Wirefree Nude - 32F,general,general,Chantelle,C13F80,31.49,119.0,1.0,0.0,119.0,0.0,119.0,7.14,126.14,9B5D8FAE-00C4-4277-8266-A040EB92E670,76059026
09/28/2025 03:02 PM,Register 1,Alexandra Rouffignac,SALE,*400000018119,*19377354774,LBB EL Reja - Medium Panty Black,Set,Bra and Panty,Elomi,EL303102BLK,13.5,35.0,1.0,0.0,35.0,0.0,35.0,2.1,37.1,D7B35777-2F16-485C-958F-6C0DCA41DB53,76058259
09/28/2025 03:02 PM,Register 1,Alexandra Rouffignac,SALE,*400000017617,*,LBB EL Reja - 34H Bra Black,Set,Bra and Panty,Elomi,EL303102BLK,32.4,82.0,1.0,0.0,82.0,0.0,82.0,4.92,86.92,D7B35777-2F16-485C-958F-6C0DCA41DB53,76058259
09/28/2025 02:14 PM,Register 1,Alexandra Rouffignac,SALE,*400000024400,*66884100528,LBB EUC 3.3 OZ Bottle - Lavander,general,general,not tracked,,3.85,7.0,1.0,0.0,7.0,0.0,7.0,0.42,7.42,FBE4E6CE-5BD9-4A94-871B-BE9B310C71C8,76058017
09/28/2025 02:14 PM,Register 1,Alexandra Rouffignac,SALE,*400000011417,*,LBB EMP Leia - 32G,general,general,not tracked,,95.0,240.0,1.0,0.0,240.0,0.0,240.0,14.4,254.4,FBE4E6CE-5BD9-4A94-871B-BE9B310C71C8,76058017
09/28/2025 02:14 PM,Register 1,Alexandra Rouffignac,SALE,*400000015248,*3546608807945,LBB SP Comete Blk - 34G,general,general,not tracked,,54.5,136.0,1.0,0.0,136.0,0.0,136.0,8.16,144.16,FBE4E6CE-5BD9-4A94-871B-BE9B310C71C8,76058017
09/28/2025 02:14 PM,Register 1,Alexandra Rouffignac,SALE,*400000026169,*3102062418919,LBB AUB Rosess - 34G moss bra,Set,general,Aubade,,68.22,206.0,1.0,0.0,206.0,0.0,206.0,12.36,218.36,FBE4E6CE-5BD9-4A94-871B-BE9B310C71C8,76058017
09/28/2025 01:54 PM,Register 1,Janiyah  Chinn,SALE,*400000015392,*,LBB SP Comete Pnk - 30E,general,general,not tracked,,54.5,136.0,1.0,0.0,136.0,0.0,136.0,8.16,144.16,7E94C30B-78FB-46F8-95E4-78B460B194F8,76057920
09/28/2025 01:30 PM,Register 1,Alexandra Rouffignac,SALE,*400000010793,*,LBB EL Smoothie Clove - 32H,general,general,not tracked,,29.25,76.0,1.0,0.0,76.0,0.0,76.0,4.56,80.56,4FA82608-C469-45D3-B17B-05BDF54422FD,76057795
09/28/2025 01:30 PM,Register 1,Alexandra Rouffignac,SALE,*400000011080,*,LBB EL Smoothie Sahara - 32H,general,general,not tracked,,29.25,76.0,1.0,0.0,76.0,0.0,76.0,4.56,80.56,4FA82608-C469-45D3-B17B-05BDF54422FD,76057795
09/28/2025 01:15 PM,Register 1,Alexandra Rouffignac,SALE,*400000024400,*66884100528,LBB EUC 3.3 OZ Bottle - Lavander,general,general,not tracked,,3.85,7.0,1.0,0.0,7.0,0.0,7.0,0.42,7.42,E9DC5BC7-BC63-4A41-889E-0C79AFF1C4A5,76057704
09/28/2025 01:15 PM,Register 1,Alexandra Rouffignac,SALE,*400000007281,*3340443053247,LBB CH Mag Bralette Blk - 34E,general,general,not tracked,,37.44,100.0,1.0,0.0,100.0,0.0,100.0,6.0,106.0,E9DC5BC7-BC63-4A41-889E-0C79AFF1C4A5,76057704
09/28/2025 01:15 PM,Register 1,Alexandra Rouffignac,SALE,*400000008653,*3340443574438,LBB CH Norah Chic - 34E,general,general,not tracked,,40.32,122.0,1.0,0.0,122.0,0.0,122.0,7.32,129.32,E9DC5BC7-BC63-4A41-889E-0C79AFF1C4A5,76057704
