Item Description,Department,Category,Quantity Sold,Sales Amount,Quantity Returned,Returns Amount,Costs,Discounts,Margin,Gross Profit,Net Sales,Quantity on Hand,Supplier,Supplier Code,Product UUID
LBB SP Comete,Bra,Bra,27.0,3672.0,0.0,0.0,1471.5,13.6,59.78,2186.9,3658.4,N/A,,,35a335fc-3940-40eb-9700-70ebaaf5172e
LBB EL Kintai Fash,Set,Bra and Panty,12.0,897.0,0.0,0.0,351.45,0.0,60.82,545.55,897.0,N/A,,,56c5db73-c479-4eaa-a186-4361f4147cf1
LBB EL Matilda Plum,Bra and Panty Set,SET,9.0,695.0,0.0,0.0,274.05,0.0,60.57,420.95,695.0,N/A,,,88c543d3-784d-4c5c-9a04-2f12d7490fd3
LBB SP Subtile ,Bra,Moulded,9.0,819.0,0.0,0.0,324.0,0.0,60.44,495.0,819.0,N/A,,,34b2aea8-f209-4e4d-9bdd-e32d6950a65a
LBB CK Stardust,Bra and Panty Set,SET,8.0,648.0,0.0,0.0,256.0,0.0,60.49,392.0,648.0,N/A,,,64323d38-76d9-4392-a866-b6d5e8c32caa
LBB SP Andora Bra,Bra,moulded,8.0,1008.0,0.0,0.0,400.0,0.0,60.32,608.0,1008.0,N/A,,,f491dbe3-525e-4b57-a580-a95e872779b9
LBB EL Nerina PL,general,general,7.0,574.0,0.0,0.0,226.8,0.0,60.49,347.2,574.0,N/A,,,00a466c8-90a7-46f5-99f6-1272158fefdb
LBB EL Nerina Fash,Bra and Panty Set,SET,7.0,527.0,0.0,0.0,207.9,16.4,59.28,302.7,510.6,N/A,,,f6ede82d-e423-4346-9f7a-5ffaabcd4c55
LBB CK Victory Bra,Bra,Balcony,7.0,539.0,0.0,0.0,212.25,0.0,60.62,326.75,539.0,N/A,,,dc9c3538-5f79-4e7b-874b-58e46d1df81e
LBB CH Norah Chic,Bra,general,6.0,732.0,0.0,0.0,222.33,0.0,69.63,509.67,732.0,N/A,,,ac1ebd3b-6224-48c7-acac-bf5e14b497ec
LBB BDL Syra,Lingerie,Set,6.0,1518.0,0.0,0.0,503.7,0.0,66.82,1014.3,1518.0,N/A,,,0a2427f0-1432-4794-b612-9338ec8ad91f
LBB FR Sonic Sports Bra,Sports Bra,general,6.0,503.0,0.0,0.0,199.8,0.0,60.28,303.2,503.0,N/A,,,d0fc7fa4-eea0-4724-81e1-e8321c6dcd66
LBB EL Smoothie,Bra,Moulded ,6.0,456.0,0.0,0.0,175.5,0.0,61.51,280.5,456.0,N/A,,,4eeb6ff7-1594-4b49-b21f-a45b333b1a8a
LBB AUB Danse Mulb,Daywear,general,5.0,767.0,0.0,0.0,253.08,30.4,65.64,483.52,736.6,N/A,,,260bc9fc-5368-408f-8bbb-f275d8551fea
LBB AUB Sheer Emo BLK,Set,Bra and Panty,5.0,677.0,0.0,0.0,224.04,0.0,66.91,452.96,677.0,N/A,,,96e8fa26-08a9-4979-b55d-0887143d906a
LBB CH Norah Violet,Bra,Bra,5.0,595.0,0.0,0.0,196.8,0.0,66.92,398.2,595.0,N/A,,,812d7905-dd82-465d-b5b0-560b9ef6e3ed
