Time,Register Name/Number,Cashier Name,Operation Type,Store Code,UPC,Line Item,Department,Category,Supplier,Supplier Code,Cost,Price,Quantity,Modifiers,Subtotal,Discounts,Net Total,Tax,Total Due,Transaction ID,Customer ID
09/29/2025 12:39 PM,Register 12,Hannah Bisk,SALE,*400000106601,*666884100382,Euc Lingerie Wash Eucalyptus 3.3oz - 3.3oz,Lingerie Wash,Lingerie Wash,Euclan,ESM,3.0,7.0,1.0,0.0,7.0,0.0,7.0,0.42,7.42,70519C16-9538-4CAB-A7F3-E37F83C599F9,76060517
09/29/2025 12:39 PM,Register 12,Hannah Bisk,SALE,*400000471839,*3340441352090,LBB CH Magnifique - 36H NUDE,Bra,general,Chantelle,C18910-0WU/-0OL,29.95,90.0,1.0,0.0,90.0,0.0,90.0,5.4,95.4,70519C16-9538-4CAB-A7F3-E37F83C599F9,76060517
09/29/2025 12:39 PM,Register 12,Hannah Bisk,SALE,*400000442303,*5052574927820,LBB CK Luxe Cocoa - 38F,Bra,general,Curvy Kate,CTN71760,35.0,88.0,1.0,0.0,88.0,0.0,88.0,5.28,93.28,70519C16-9538-4CAB-A7F3-E37F83C599F9,76060517
09/28/2025 05:23 PM,Register 12,Ashley Harriet,SALE,*400000462134,*889501108404,LBB EL Smoothie - 34GG Sahara BRA,Bra,Moulded ,Elomi,4301,29.25,76.0,1.0,0.0,76.0,0.0,76.0,4.56,80.56,84F31BA7-2F07-4732-9C2F-B1373393DA5E,76058862
09/28/2025 05:23 PM,Register 12,Ashley Harriet,SALE,*400000320960,*3546608615255,LBB SP Comete - 34H Pink Sand,Bra,Bra,Simone Perele,12S324/015/588/772/562,54.5,136.0,1.0,0.0,136.0,0.0,136.0,8.16,144.16,84F31BA7-2F07-4732-9C2F-B1373393DA5E,76058862
09/28/2025 05:20 PM,Register 12,Ashley Harriet,SALE,*400000466040,*,LBB CH Norah - 38H Blush,Bra,general,Chantelle,C13F10-011/-02T,39.36,119.0,1.0,0.0,119.0,0.0,119.0,7.14,126.14,B67AC8BC-889E-466F-BA87-EED8589EA755,76038332
09/28/2025 05:20 PM,Register 12,Ashley Harriet,SALE,*400000511269,*193773492438,LBB EL Nerina PL - 36H Sahara,general,general,Elomi,EL302734SAH,32.4,82.0,1.0,0.0,82.0,0.0,82.0,4.92,86.92,B67AC8BC-889E-466F-BA87-EED8589EA755,76038332
09/28/2025 03:45 PM,Register 12,Ashley Harriet,SALE,*400000525662,*5063420046169,LBB CK Stardust - 36H VIO Bra,Bra and Panty Set,SET,Curvy Kate,CK083100/CK083202,32.0,81.0,1.0,0.0,81.0,0.0,81.0,4.86,85.86,84F35645-1DE8-4C13-948E-55021B4F3369,76058454
09/28/2025 03:45 PM,Register 12,Ashley Harriet,SALE,*400000320991,*3546608615262,LBB SP Comete - 36H Pink Sand,Bra,Bra,Simone Perele,12S324/015/588/772/562,54.5,136.0,1.0,0.0,136.0,0.0,136.0,8.16,144.16,84F35645-1DE8-4C13-948E-55021B4F3369,76058454
09/28/2025 03:45 PM,Register 12,Ashley Harriet,SALE,*400000526669,*193773551715,LBB EL Matilda Plum - 36G Plum Bra,Bra and Panty Set,SET,Elomi,EL8900/EL8906,32.4,82.0,1.0,0.0,82.0,0.0,82.0,4.92,86.92,84F35645-1DE8-4C13-948E-55021B4F3369,76058454
09/28/2025 02:31 PM,Register 12,Hannah Bisk,SALE,*400000518060,*3340443823130,LBB CH Norah Chic - 32B Soft Pink,Bra,general,Chantelle,C16MNA ORG/C16MNA 011,33.79,122.0,1.0,0.0,122.0,0.0,122.0,7.32,129.32,E4525E29-3530-4B59-A622-E7CCFB643105,74086936
09/28/2025 01:30 PM,Register 12,Hannah Bisk,SALE,*400000330112,*841676029168,LBB Elila Lace Longline - 40D white,Longline,Strapless,Elila ,6621-WH,33.0,85.0,1.0,0.0,85.0,0.0,85.0,5.1,90.1,22D5D7EE-1623-4B48-B6E5-ACB95E5B4E14,76057787
09/28/2025 01:26 PM,Register 12,Ashley Harriet,SALE,*400000321110,*3546608608004,LBB SP Comete - 36H Black,Bra,Bra,Simone Perele,12S324/015/588/772/562,54.5,136.0,1.0,0.0,136.0,0.0,136.0,8.16,144.16,EDE73782-C28D-445A-B98A-B93992EDD5D4,76057760
09/28/2025 01:26 PM,Register 12,Ashley Harriet,SALE,*400000521480,*193773549866,LBB EL Smoothie Em - 34H GRN,Bra,Full Coverage,Elomi,EL4301DPE,29.25,76.0,1.0,0.0,76.0,0.0,76.0,4.56,80.56,EDE73782-C28D-445A-B98A-B93992EDD5D4,76057760
