Time,Register Name/Number,Cashier Name,Operation Type,Store Code,UPC,Line Item,Department,Category,Supplier,Supplier Code,Cost,Price,Quantity,Modifiers,Subtotal,Discounts,Net Total,Tax,Total Due,Transaction ID,Customer ID
09/21/2025 06:20 PM,Register 1,Alexandra Rouffignac,SALE,*400000017754,*,LBB EL Reja - 40H Bra Black,Set,Bra and Panty,Elomi,EL303102BLK,32.4,82.0,1.0,0.0,82.0,0.0,82.0,4.92,86.92,42169345-4AC2-45C3-A8B5-B3D3DEC17270,76031462
09/21/2025 06:02 PM,Register 1,Alexandra Rouffignac,SALE,*400000015217,*35466088077553546608807946,LBB SP Comete Blk - 34D,general,general,not tracked,,54.5,136.0,1.0,0.0,136.0,0.0,136.0,8.16,144.16,D0CF6B14-E3AC-4252-ACCA-A6DD5E9B14C6,76031406
09/21/2025 02:42 PM,Register 1,Alexandra Rouffignac,SALE,*400000007762,*3340443941636,LBB CH Comfort Chic Molded - 32F,Bra,general,Chantelle,C18JNV,40.32,122.0,1.0,0.0,122.0,0.0,122.0,7.32,129.32,8DB59CBE-210A-46B7-BD5F-CCD798DF200B,76030579
09/21/2025 02:42 PM,Register 1,Alexandra Rouffignac,SALE,*400000015965,*3340443574735,LBB CH Norah Chic Blk - 34E,general,general,Chantelle,C16M10,42.24,122.0,1.0,0.0,122.0,0.0,122.0,7.32,129.32,8DB59CBE-210A-46B7-BD5F-CCD798DF200B,76030579
09/21/2025 02:39 PM,Register 1,Alexandra Rouffignac,SALE,*400000024424,*666884100627,LBB EUC 3.3 OZ Bottle - unscented,general,general,not tracked,,3.85,7.0,1.0,0.0,7.0,0.0,7.0,0.42,7.42,C073A4A3-345A-4B78-A503-5312D28B671D,76030548
09/21/2025 02:38 PM,Register 1,Janiyah  Chinn,SALE,*400000026114,*3102062418766,LBB AUB Rosess - 32E moss bra,Set,general,Aubade,,68.22,206.0,1.0,0.0,206.0,0.0,206.0,12.36,218.36,BFB4F976-C879-411F-9675-DA2EA44406FF,76030548
09/21/2025 02:38 PM,Register 1,Janiyah  Chinn,SALE,*400000015170,*354660770818,LBB SP Comete Blk - 32E,general,general,not tracked,,54.5,136.0,1.0,0.0,136.0,0.0,136.0,8.16,144.16,BFB4F976-C879-411F-9675-DA2EA44406FF,76030548
09/21/2025 02:38 PM,Register 1,Janiyah  Chinn,SALE,*400000007755,*3340443941582,LBB CH Comfort Chic Molded - 32E,Bra,general,Chantelle,C18JNV,40.32,122.0,1.0,0.0,122.0,0.0,122.0,7.32,129.32,BFB4F976-C879-411F-9675-DA2EA44406FF,76030548
09/21/2025 01:14 PM,Register 1,Janiyah  Chinn,SALE,*400000002743,*66884100474,LBB EUC 3.3 OZ Bottle - Grapefruit,general,general,not tracked,,3.85,7.0,1.0,0.0,7.0,0.0,7.0,0.42,7.42,E78D96B6-3941-40AA-97B3-AABE04F98742,76030105
09/21/2025 01:14 PM,Register 1,Janiyah  Chinn,SALE,*400000026176,*3102062418711,LBB AUB Rosess - 36D moss bra,Set,general,Aubade,,68.22,206.0,1.0,0.0,206.0,0.0,206.0,12.36,218.36,E78D96B6-3941-40AA-97B3-AABE04F98742,76030105
