Time,Register Name/Number,Cashier Name,Operation Type,Store Code,UPC,Line Item,Department,Category,Supplier,Supplier Code,Cost,Price,Quantity,Modifiers,Subtotal,Discounts,Net Total,Tax,Total Due,Transaction ID,Customer ID
09/21/2025 06:04 PM,Register 12,Hannah Bisk,SALE,*400000048758,*,LBB AD Glam Underwire Bra 36D,Bra,Underwire ,Absolutely Lingerie,ADFGL02,32.0,85.0,1.0,0.0,85.0,0.0,85.0,5.1,90.1,D1896AF4-4211-4FEB-A803-A258B02B9036,75948096
09/21/2025 06:04 PM,Register 12,Hannah Bisk,SALE,*400000243917,*887934560813,LBB ML Adage - LRG Blk Tanga,general,general,not tracked,,25.2,64.0,1.0,0.0,64.0,0.0,64.0,3.84,67.84,D1896AF4-4211-4FEB-A803-A258B02B9036,75948096
09/21/2025 06:04 PM,Register 12,Hannah Bisk,SALE,*400000458809,*3102062095875,LBB AUB Into the Groove - XL-B Tanga PNK KARMA,Lingerie,Set,Aubade,3BF14/3B70/3B52/3B26,47.98,145.0,1.0,0.0,145.0,0.0,145.0,8.7,153.7,D1896AF4-4211-4FEB-A803-A258B02B9036,75948096
09/21/2025 06:04 PM,Register 12,Hannah Bisk,SALE,*400000457765,*3102062097329,LBB AUB Into the Groove - 34C BRA PNK KARMA,Lingerie,Set,Aubade,3BF14/3B70/3B52/3B26,68.22,206.0,1.0,0.0,206.0,0.0,206.0,12.36,218.36,D1896AF4-4211-4FEB-A803-A258B02B9036,75948096
09/21/2025 06:04 PM,Register 12,Hannah Bisk,SALE,*400000106564,*666884100528,Euc Lingerie Wash Lavender 3.3oz - 3.3oz,Lingerie Wash,Lingerie Wash,Euclan,LSM,3.0,7.0,1.0,0.0,7.0,0.0,7.0,0.42,7.42,D1896AF4-4211-4FEB-A803-A258B02B9036,75948096
09/21/2025 06:04 PM,Register 12,Hannah Bisk,SALE,*400000271064,*655222130938,LBB Lavish Corset - M Sheer,Corset,Corset ,Daisy Corset,LV1177/780/578/180/773/88/200/599/142/755/67/209/,40.0,110.0,1.0,0.0,110.0,0.0,110.0,6.6,116.6,D1896AF4-4211-4FEB-A803-A258B02B9036,75948096
09/21/2025 06:04 PM,Register 12,Hannah Bisk,SALE,*400000409474,*887934827015,LBB ML Hypnotic Black - XL,Bra and Panty Set,general,Maison Lejaby,230413/23046230,25.2,63.0,1.0,0.0,63.0,0.0,63.0,3.78,66.78,D1896AF4-4211-4FEB-A803-A258B02B9036,75948096
09/21/2025 05:50 PM,Register 12,Hannah Bisk,SALE,*400000515083,*3340443574421,LBB CH Norah Flex - 32E Rose,Bra,Full Coverage,Chantelle,C16M10,40.32,122.0,1.0,0.0,122.0,0.0,122.0,7.32,129.32,64EB6785-775B-46B0-9FE9-B0FE1E2EC5DC,76031357
09/21/2025 05:50 PM,Register 12,Hannah Bisk,SALE,*400000512105,*3102062405223,LBB AUB Vibe Fash - 32E Denim Bra,Set,3 PC,Aubade,2BF14/2BN13G,68.22,206.0,1.0,0.0,206.0,0.0,206.0,12.36,218.36,64EB6785-775B-46B0-9FE9-B0FE1E2EC5DC,76031357
09/21/2025 05:34 PM,Register 12,Hannah Bisk,SALE,*400000348247,*3546608615064,LBB SP Comete - 30E Pink Sand,Bra,Bra,Simone Perele,12S324/015/588/772/562,54.5,136.0,1.0,0.0,136.0,0.0,136.0,8.16,144.16,97816FED-1296-4DAE-88BB-99DFDA67E9B9,64033681
